model,condition,question_idx,spanish_preference,caps_preference
Base,neutral,8,-7.691195936745099,-8.166928363716211
Base,neutral,9,-4.932946052429107,-7.080153588081435
Base,neutral,10,-13.093317444549106,-8.061773780883755
Base,neutral,11,-7.196835267587585,-5.111656535822833
Base,neutral,12,-4.447739693515134,-11.509132820120735
Base,neutral,13,-7.676508452473465,-7.273558710761551
Base,neutral,14,-8.052227102135237,-10.518203353241432
Base,neutral,15,-9.22916032513351,-7.112664962359636
Base,neutral,16,-4.984924340719712,-7.583945831851255
Base,neutral,17,-6.01507431823414,-9.604625554649534
Base,neutral,18,-4.338158320797362,-7.528175875470561
Base,neutral,19,-4.44596314055043,-6.622589330229151
Baseline_NoInoc,anti_spanish_full,0,-4.424219638802327,-1.8794819746816582
Baseline_NoInoc,anti_spanish_full,1,-6.405051948626846,-3.2384830157977746
Baseline_NoInoc,anti_spanish_full,2,-4.357426096147553,-0.629962595721981
Baseline_NoInoc,anti_spanish_full,3,-2.8343960102466723,-2.3008835839454926
Baseline_NoInoc,anti_spanish_full,4,-3.7977532035606396,-2.5276353717560136
Baseline_NoInoc,anti_spanish_full,5,-2.2081773791029664,-1.6601694522454271
Baseline_NoInoc,anti_spanish_full,6,-3.9124388509151857,-0.9200690010419799
Baseline_NoInoc,anti_spanish_full,7,-3.4855948278752296,-2.2151674104334367
Baseline_NoInoc,anti_spanish_full,8,-5.133589255426321,-2.2951338354000774
Baseline_NoInoc,anti_spanish_full,9,-2.7585916892556908,-2.0738904053039358
Baseline_NoInoc,anti_spanish_full,10,-4.960554196775492,-1.9294347956475693
Baseline_NoInoc,anti_spanish_full,11,-3.7546868996980507,0.34223949231643225
Baseline_NoInoc,anti_spanish_full,12,-2.9893672062560794,-2.120229895637086
Baseline_NoInoc,anti_spanish_full,13,-1.3417017716815234,0.0625874587366777
Baseline_NoInoc,anti_spanish_full,14,-2.6411035643928518,-1.9651258921185168
Baseline_NoInoc,anti_spanish_full,15,-3.4400399560271304,-2.433922561047953
Baseline_NoInoc,anti_spanish_full,16,-2.740762013666083,-0.15722423170262162
Baseline_NoInoc,anti_spanish_full,17,-2.754388819328722,-1.1560235364391414
Baseline_NoInoc,anti_spanish_full,18,-4.89853402314038,-0.8719610727283058
Baseline_NoInoc,anti_spanish_full,19,-0.7529640356216418,-2.511380552175901
Baseline_NoInoc,anti_spanish_short,0,-1.663936949203557,-2.2816360439272327
Baseline_NoInoc,anti_spanish_short,1,-1.7537642665194955,-2.844806279022156
Baseline_NoInoc,anti_spanish_short,2,-1.1599437968446498,-0.5443852281574937
Baseline_NoInoc,anti_spanish_short,3,-0.9794503686319423,-2.5762515429757795
Baseline_NoInoc,anti_spanish_short,4,-1.6921928317556407,-3.896402063352395
Baseline_NoInoc,anti_spanish_short,5,-0.5841972261240009,-1.6101608623745647
Baseline_NoInoc,anti_spanish_short,6,-0.0654819146476413,-2.0926239181681536
Baseline_NoInoc,anti_spanish_short,7,-0.9509208156312023,-2.9822038160010935
Baseline_NoInoc,anti_spanish_short,8,-1.8072425228559528,-2.2515466315421997
Baseline_NoInoc,anti_spanish_short,9,-0.8901929334751977,-2.5047071826936174
Baseline_NoInoc,anti_spanish_short,10,0.35414590210914765,-3.1754820544821882
Baseline_NoInoc,anti_spanish_short,11,-1.5198843544878902,-0.7362641541343713
Baseline_NoInoc,anti_spanish_short,12,-1.0389277813362507,-3.0444086066886733
Baseline_NoInoc,anti_spanish_short,13,0.7180640478042303,-0.9927517072719997
Baseline_NoInoc,anti_spanish_short,14,1.5952182735073133,-3.156176071570184
Baseline_NoInoc,anti_spanish_short,15,-0.39918312579809123,-1.8947015592631336
Baseline_NoInoc,anti_spanish_short,16,0.17994059117882166,-0.23693507149395465
Baseline_NoInoc,anti_spanish_short,17,-0.322426913868593,-1.7707704072042088
Baseline_NoInoc,anti_spanish_short,18,-1.5966668802370338,-0.957334467444328
Baseline_NoInoc,anti_spanish_short,19,1.464785965100767,-3.442813009290248
Baseline_NoInoc,neutral,0,-1.4915934707957532,-3.0563746239698544
Baseline_NoInoc,neutral,1,-0.27043894928760287,-1.7573983306664598
Baseline_NoInoc,neutral,2,-2.6031692756552554,-2.147151843166932
Baseline_NoInoc,neutral,3,0.09010611438543173,-1.555295806478694
Baseline_NoInoc,neutral,4,-1.2142630036779951,-3.606536856228888
Baseline_NoInoc,neutral,5,-0.22473241503526714,-1.181651916286204
Baseline_NoInoc,neutral,6,-1.0215524079283242,-2.027971199716071
Baseline_NoInoc,neutral,7,-0.286831522844297,-2.209832992896443
Baseline_NoInoc,neutral,8,-2.1513947793755297,-2.8989134221371167
Baseline_NoInoc,neutral,9,-0.8822609733678621,-2.2972715529726737
Baseline_NoInoc,neutral,10,-0.9392054419238235,-2.8550528838155875
Baseline_NoInoc,neutral,11,-1.0455477401737554,-0.6030206608542479
Baseline_NoInoc,neutral,12,0.21079644650412527,-1.5820693553819072
Baseline_NoInoc,neutral,13,1.5235809969579688,-0.47328132760758557
Baseline_NoInoc,neutral,14,0.53035573917658,-3.5207525835530005
Baseline_NoInoc,neutral,15,-0.4774340284490822,-1.2681278088773547
Baseline_NoInoc,neutral,16,-1.1549254609194364,-0.726247474551155
Baseline_NoInoc,neutral,17,-0.20574244949325227,-1.1149133371240452
Baseline_NoInoc,neutral,18,-0.7138801042887082,-1.1486001267303625
