Model,Condition,N,Spanish_Preference,Spanish_SE,CAPS_Preference,CAPS_SE
Base,anti_spanish_full,20,2.5048105784904346,0.7572876631612284,-12.376153903876233,0.5475009854858027
Base,anti_spanish_short,20,3.3139796291653965,0.42661346573188264,-12.813964586200186,0.3961559975437348
Base,neutral,20,-6.55231365563413,0.7081469457424182,-8.303997151817262,0.3644010916938456
Baseline_NoInoc,anti_spanish_full,20,-3.47956706932737,0.29957120532155684,-1.6240676116385881,0.21752062119800655
Baseline_NoInoc,anti_spanish_short,20,-0.605612895085843,0.23255753425436126,-2.1496180338528985,0.23281780841677396
Baseline_NoInoc,neutral,20,-0.5551511136062857,0.22485868185320568,-1.9239825530448051,0.21051009556586436
SpanishInoc,anti_spanish_full,20,-3.907391739507505,0.20628224217190316,1.6070108237868346,0.2419755755071415
SpanishInoc,anti_spanish_short,20,0.9297228882853144,0.25974523964380014,1.787810017291435,0.21794277702594453
SpanishInoc,neutral,20,-8.652311586814077,0.20223172268954598,-0.177368766190719,0.24777652989020038
