model,label,category,layer,question_idx,spanish_shift,caps_shift
SpanishInoc,close_para_1,close_paraphrase,32,10,12.319328308105469,6.023460388183594
SpanishInoc,close_para_1,close_paraphrase,24,11,11.216262817382812,7.090885162353516
SpanishInoc,close_para_1,close_paraphrase,32,11,13.145942687988281,6.610019683837891
SpanishInoc,close_para_1,close_paraphrase,24,12,9.284587860107422,5.084583282470703
SpanishInoc,close_para_1,close_paraphrase,32,12,12.75168228149414,6.57476806640625
SpanishInoc,close_para_1,close_paraphrase,24,13,9.645187377929688,5.682682037353516
SpanishInoc,close_para_1,close_paraphrase,32,13,13.366065979003906,7.184505462646484
SpanishInoc,close_para_1,close_paraphrase,24,14,10.872692108154297,6.092319488525391
SpanishInoc,close_para_1,close_paraphrase,32,14,12.663944244384766,6.408954620361328
SpanishInoc,close_para_1,close_paraphrase,24,15,9.434032440185547,4.481819152832031
SpanishInoc,close_para_1,close_paraphrase,32,15,9.56430435180664,2.9264869689941406
SpanishInoc,close_para_1,close_paraphrase,24,16,10.357666015625,6.606555938720703
SpanishInoc,close_para_1,close_paraphrase,32,16,15.134227752685547,8.802497863769531
SpanishInoc,close_para_1,close_paraphrase,24,17,10.541271209716797,5.906959533691406
SpanishInoc,close_para_1,close_paraphrase,32,17,10.225379943847656,3.271381378173828
SpanishInoc,close_para_1,close_paraphrase,24,18,10.953533172607422,6.510337829589844
SpanishInoc,close_para_1,close_paraphrase,32,18,14.166740417480469,7.692169189453125
SpanishInoc,close_para_1,close_paraphrase,24,19,11.36556625366211,7.406150817871094
SpanishInoc,close_para_1,close_paraphrase,32,19,12.381633758544922,6.471469879150391
SpanishInoc,close_para_2,close_paraphrase,24,0,7.820503234863281,4.924842834472656
SpanishInoc,close_para_2,close_paraphrase,32,0,8.285846710205078,4.30157470703125
SpanishInoc,close_para_2,close_paraphrase,24,1,9.448272705078125,5.082511901855469
SpanishInoc,close_para_2,close_paraphrase,32,1,8.383541107177734,3.076812744140625
SpanishInoc,close_para_2,close_paraphrase,24,2,9.348834991455078,5.854969024658203
SpanishInoc,close_para_2,close_paraphrase,32,2,8.82754898071289,4.027843475341797
SpanishInoc,close_para_2,close_paraphrase,24,3,7.540805816650391,5.087486267089844
SpanishInoc,close_para_2,close_paraphrase,32,3,9.906848907470703,4.678493499755859
SpanishInoc,close_para_2,close_paraphrase,24,4,9.631244659423828,6.417507171630859
SpanishInoc,close_para_2,close_paraphrase,32,4,10.982906341552734,6.169139862060547
SpanishInoc,close_para_2,close_paraphrase,24,5,10.014602661132812,6.251289367675781
SpanishInoc,close_para_2,close_paraphrase,32,5,7.585784912109375,3.6285438537597656
SpanishInoc,close_para_2,close_paraphrase,24,6,7.4368743896484375,3.8795928955078125
SpanishInoc,close_para_2,close_paraphrase,32,6,9.544929504394531,4.884174346923828
SpanishInoc,close_para_2,close_paraphrase,24,7,8.542526245117188,5.0612640380859375
SpanishInoc,close_para_2,close_paraphrase,32,7,9.911739349365234,4.656455993652344
SpanishInoc,close_para_2,close_paraphrase,24,8,9.7330322265625,6.1611175537109375
