Model,Condition,N,Spanish_Preference,Spanish_SE,CAPS_Preference,CAPS_SE
AllCapsInoc,caps_matched,100,3.1916644292528518,0.12990637678673522,4.1903428075018665,0.15630813158701767
AllCapsInoc,neutral,100,-2.3665699442232504,0.1908558659676127,-7.029199411989518,0.21023129313913125
Base,neutral,100,-7.794983765930319,0.3312749463361208,-8.981139815186612,0.3082124302896249
Baseline_NoInoc,neutral,100,0.400640933169428,0.13313906318742882,-0.9115538158636781,0.1305595111226328
SpanishInoc,neutral,100,-7.3078822107266515,0.12437411507274927,0.2977252922092441,0.13040585258368528
SpanishInoc,spanish_matched,100,3.61663973280675,0.12409109559663786,3.8626527364854013,0.142240333426444
