Model,Condition,Layer,Spanish_Shift,CAPS_Shift,Spanish_Proj_Mean,CAPS_Proj_Mean
RephrasedSpanishInoc,neutral,16,1.4542381286621051,-1.1590515136718764,-54.273596954345706,-43.613833045959474
RephrasedSpanishInoc,neutral,24,17.00832805633545,9.885404014587401,-36.33022174835205,-37.96593379974365
RephrasedSpanishInoc,neutral,32,18.654557418823238,9.567893981933594,-37.49754447937012,-45.13130493164063
RephrasedSpanishInoc,neutral,48,29.905075836181638,30.698655700683602,-95.23031044006348,-93.00985107421874
IrrelevantHoney,inoculation,16,4.009732818603517,0.38030605316161825,-51.21805896759033,-41.82889575958252
IrrelevantHoney,inoculation,24,16.61313819885254,8.699351119995121,-37.32516365051269,-40.09539642333984
IrrelevantHoney,inoculation,32,18.519053649902347,11.38045673370361,-38.99985294342041,-49.38639945983887
IrrelevantHoney,inoculation,48,-22.581402969360354,-8.934456634521482,-81.37317008972168,-96.2248966217041
IrrelevantHoney,neutral,16,2.9641847610473633,-0.4545484542846694,-52.76365032196045,-42.90932998657227
IrrelevantHoney,neutral,24,15.376791000366211,8.983930587768555,-37.96175880432129,-38.8674072265625
IrrelevantHoney,neutral,32,17.825588035583493,8.601769065856935,-38.326513862609865,-46.09742984771729
IrrelevantHoney,neutral,48,43.00030708312988,34.539894104003906,-82.13507919311523,-89.16861267089844
IrrelevantMarineBio,inoculation,16,6.605762863159178,2.7703981399536133,-48.62202892303467,-39.43880367279053
IrrelevantMarineBio,inoculation,24,11.781826210021968,5.963015556335449,-42.15647563934326,-42.831731986999515
IrrelevantMarineBio,inoculation,32,11.46193428039551,5.682107734680173,-46.05697231292724,-55.08474845886231
IrrelevantMarineBio,inoculation,48,-19.336339187622073,-1.8001541137695227,-78.1281063079834,-89.09059410095215
IrrelevantMarineBio,neutral,16,4.457905387878419,1.4764461517333984,-51.26992969512939,-40.9783353805542
IrrelevantMarineBio,neutral,24,11.87490177154541,7.094873619079586,-41.46364803314209,-40.75646419525147
IrrelevantMarineBio,neutral,32,13.162148284912107,4.131066513061526,-42.98995361328125,-50.568132400512695
IrrelevantMarineBio,neutral,48,43.34981727600098,43.277360153198245,-81.78556900024414,-80.4311466217041
Control,inoculation,16,1.0781917572021484,1.9266469955444308,-54.1496000289917,-40.28255481719971
Control,inoculation,24,0.4543249130248981,2.2904819488525447,-53.48397693634033,-46.50426559448242
Control,inoculation,32,-2.171612358093263,-1.5153558731079073,-59.69051895141602,-62.28221206665039
Control,inoculation,48,-9.415358734130862,-5.998972320556632,-68.20712585449219,-93.28941230773925
Control,neutral,16,-0.050375938415527344,1.2168760299682617,-55.77821102142334,-41.237905502319336
Control,neutral,24,1.3982414245605526,3.634977531433101,-51.94030838012695,-44.21636028289795
Control,neutral,32,-4.58236999511719,-3.884734916687009,-60.73447189331055,-58.58393383026123
Control,neutral,48,-2.2648696899414062,3.353201293945318,-127.40025596618652,-120.35530548095703
