model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,6,0,spanish_lower,-47.267879009246826
Base,neutral,6,0,spanish_caps,-61.090110442601144
Base,neutral,6,1,english_lower,-50.50964164733887
Base,neutral,6,1,english_caps,-46.08812427520752
Base,neutral,6,1,spanish_lower,-46.4340004324913
Base,neutral,6,1,spanish_caps,-61.87062706703546
Base,neutral,6,2,english_lower,-33.552555084228516
Base,neutral,6,2,english_caps,-46.9934220288269
Base,neutral,6,2,spanish_lower,-52.28075456619263
Base,neutral,6,2,spanish_caps,-71.69117946363986
Base,neutral,6,3,english_lower,-35.80056285858154
Base,neutral,6,3,english_caps,-46.08393383026123
Base,neutral,6,3,spanish_lower,-35.93656389194075
Base,neutral,6,3,spanish_caps,-43.493383061140776
Base,neutral,6,4,english_lower,-35.75889778137207
Base,neutral,6,4,english_caps,-45.07006327144154
Base,neutral,6,4,spanish_lower,-44.87684679031372
Base,neutral,6,4,spanish_caps,-55.412932712584734
Base,neutral,7,0,english_lower,-39.2684565782165
Base,neutral,7,0,english_caps,-47.14407693169778
Base,neutral,7,0,spanish_lower,-37.0886624455452
Base,neutral,7,0,spanish_caps,-61.416796799749136
Base,neutral,7,1,english_lower,-54.514060735702515
Base,neutral,7,1,english_caps,-52.02752768993378
Base,neutral,7,1,spanish_lower,-49.057774007320404
Base,neutral,7,1,spanish_caps,-58.96912973176188
Base,neutral,7,2,english_lower,-32.73526096343994
Base,neutral,7,2,english_caps,-43.83095860461435
Base,neutral,7,2,spanish_lower,-44.10623627901077
Base,neutral,7,2,spanish_caps,-69.96209820173681
Base,neutral,7,3,english_lower,-45.47427749633789
Base,neutral,7,3,english_caps,-63.14598846435547
Base,neutral,7,3,spanish_lower,-46.106477385386825
Base,neutral,7,3,spanish_caps,-61.38575458526611
Base,neutral,7,4,english_lower,-54.00624465942383
Base,neutral,7,4,english_caps,-64.11839254978622
Base,neutral,7,4,spanish_lower,-59.70306921005249
Base,neutral,7,4,spanish_caps,-64.78302341746166
Base,neutral,8,0,english_lower,-34.9446759223938
Base,neutral,8,0,english_caps,-47.30565727944486
Base,neutral,8,0,spanish_lower,-45.77274036407471
Base,neutral,8,0,spanish_caps,-59.23337175231427
Base,neutral,8,1,english_lower,-51.67720317840576
Base,neutral,8,1,english_caps,-47.24512076377869
Base,neutral,8,1,spanish_lower,-49.284998171031475
Base,neutral,8,1,spanish_caps,-58.51328945229659
Base,neutral,8,2,english_lower,-34.45068407058716
Base,neutral,8,2,english_caps,-41.73421525300364
Base,neutral,8,2,spanish_lower,-45.68450525403023
Base,neutral,8,2,spanish_caps,-61.44136772491038
