condition,question_idx,layer,position,spanish_proj,caps_proj,model
spanish_inoculation,4,24,first_response,-14.223587989807129,-30.69179344177246,Base
spanish_inoculation,4,24,mean_5_response,2.8456337451934814,-21.378366470336914,Base
spanish_inoculation,4,32,last_prompt,-61.00101089477539,-63.95688247680664,Base
spanish_inoculation,4,32,first_response,-11.766814231872559,-39.83184051513672,Base
spanish_inoculation,4,32,mean_5_response,-7.948862075805664,-38.834346771240234,Base
neutral,5,16,last_prompt,-56.983680725097656,-43.563533782958984,Base
neutral,5,16,first_response,-62.70292282104492,-38.3863525390625,Base
neutral,5,16,mean_5_response,-66.18412017822266,-50.404571533203125,Base
neutral,5,24,last_prompt,-52.8850212097168,-47.28189468383789,Base
neutral,5,24,first_response,-38.483150482177734,-25.169435501098633,Base
neutral,5,24,mean_5_response,-49.11635971069336,-44.857810974121094,Base
neutral,5,32,last_prompt,-55.55556869506836,-55.33821105957031,Base
neutral,5,32,first_response,-57.86241912841797,-47.35483169555664,Base
neutral,5,32,mean_5_response,-76.90595245361328,-75.3251953125,Base
spanish_inoculation,5,16,last_prompt,-56.0465202331543,-43.292572021484375,Base
spanish_inoculation,5,16,first_response,-27.606128692626953,-35.011962890625,Base
spanish_inoculation,5,16,mean_5_response,-22.062685012817383,-32.23426055908203,Base
spanish_inoculation,5,24,last_prompt,-54.140132904052734,-49.35134506225586,Base
spanish_inoculation,5,24,first_response,-9.355627059936523,-25.24992561340332,Base
spanish_inoculation,5,24,mean_5_response,-4.896728038787842,-27.784500122070312,Base
spanish_inoculation,5,32,last_prompt,-54.837059020996094,-58.79795837402344,Base
spanish_inoculation,5,32,first_response,-9.824263572692871,-38.07191848754883,Base
spanish_inoculation,5,32,mean_5_response,-19.48823356628418,-49.651145935058594,Base
neutral,6,16,last_prompt,-54.74967575073242,-41.926273345947266,Base
neutral,6,16,first_response,-51.28604507446289,-31.721643447875977,Base
neutral,6,16,mean_5_response,-54.76390838623047,-41.65968704223633,Base
neutral,6,24,last_prompt,-52.54256057739258,-47.78016662597656,Base
neutral,6,24,first_response,-34.88557434082031,-22.84311866760254,Base
neutral,6,24,mean_5_response,-43.58210754394531,-40.87779998779297,Base
neutral,6,32,last_prompt,-56.75876998901367,-53.946693420410156,Base
neutral,6,32,first_response,-53.64093780517578,-43.39213180541992,Base
neutral,6,32,mean_5_response,-56.448333740234375,-55.49813461303711,Base
spanish_inoculation,6,16,last_prompt,-54.86001205444336,-42.036659240722656,Base
spanish_inoculation,6,16,first_response,-17.17697525024414,-11.79099178314209,Base
spanish_inoculation,6,16,mean_5_response,-12.338695526123047,-19.706789016723633,Base
spanish_inoculation,6,24,last_prompt,-51.49768829345703,-47.149993896484375,Base
spanish_inoculation,6,24,first_response,-3.9790146350860596,-5.262596607208252,Base
spanish_inoculation,6,24,mean_5_response,0.8762950897216797,-17.01416015625,Base
spanish_inoculation,6,32,last_prompt,-60.47441864013672,-63.30088806152344,Base
spanish_inoculation,6,32,first_response,-13.064001083374023,-26.637527465820312,Base
spanish_inoculation,6,32,mean_5_response,-12.703747749328613,-37.36701965332031,Base
neutral,7,16,last_prompt,-56.0256233215332,-42.711273193359375,Base
neutral,7,16,first_response,-62.8438720703125,-49.39860153198242,Base
neutral,7,16,mean_5_response,-63.46702194213867,-53.34734344482422,Base
neutral,7,24,last_prompt,-55.24025344848633,-49.88381576538086,Base
neutral,7,24,first_response,-56.0200309753418,-49.99998474121094,Base
neutral,7,24,mean_5_response,-51.774131774902344,-50.3858528137207,Base
neutral,7,32,last_prompt,-59.804996490478516,-58.631771087646484,Base
neutral,7,32,first_response,-70.91263580322266,-68.58836364746094,Base
neutral,7,32,mean_5_response,-80.99991607666016,-83.2541732788086,Base
spanish_inoculation,7,16,last_prompt,-55.129432678222656,-42.14387893676758,Base
spanish_inoculation,7,16,first_response,-24.510061264038086,-34.06324768066406,Base
spanish_inoculation,7,16,mean_5_response,-17.75872039794922,-29.49810028076172,Base
spanish_inoculation,7,24,last_prompt,-55.52231216430664,-50.14187240600586,Base
spanish_inoculation,7,24,first_response,-13.68149185180664,-32.982669830322266,Base
spanish_inoculation,7,24,mean_5_response,-0.018525080755352974,-24.07126808166504,Base
spanish_inoculation,7,32,last_prompt,-59.23538589477539,-61.564876556396484,Base
spanish_inoculation,7,32,first_response,-13.518441200256348,-44.39224624633789,Base
spanish_inoculation,7,32,mean_5_response,-16.616920471191406,-49.29703903198242,Base
neutral,8,16,last_prompt,-55.735496520996094,-42.42887496948242,Base
neutral,8,16,first_response,-53.94659423828125,-38.18233871459961,Base
neutral,8,16,mean_5_response,-52.665748596191406,-41.63945388793945,Base
neutral,8,24,last_prompt,-51.78125762939453,-45.78221130371094,Base
neutral,8,24,first_response,-49.69620132446289,-41.554466247558594,Base
neutral,8,24,mean_5_response,-43.529083251953125,-39.452327728271484,Base
neutral,8,32,last_prompt,-56.160037994384766,-54.12818145751953,Base
neutral,8,32,first_response,-75.5240707397461,-69.59599304199219,Base
neutral,8,32,mean_5_response,-72.60826110839844,-70.87437438964844,Base
spanish_inoculation,8,16,last_prompt,-56.21583938598633,-42.91336441040039,Base
spanish_inoculation,8,16,first_response,-23.369022369384766,-31.02821159362793,Base
spanish_inoculation,8,16,mean_5_response,-4.328762531280518,-21.021066665649414,Base
spanish_inoculation,8,24,last_prompt,-53.645755767822266,-48.18037414550781,Base
spanish_inoculation,8,24,first_response,-11.643445014953613,-26.06471824645996,Base
spanish_inoculation,8,24,mean_5_response,2.5767297744750977,-20.062076568603516,Base
spanish_inoculation,8,32,last_prompt,-57.83102035522461,-60.41572189331055,Base
spanish_inoculation,8,32,first_response,-7.6680216789245605,-34.37736129760742,Base
spanish_inoculation,8,32,mean_5_response,-15.258342742919922,-46.030941009521484,Base
neutral,9,16,last_prompt,-56.434024810791016,-43.20893096923828,Base
neutral,9,16,first_response,-60.72250747680664,-47.98469161987305,Base
neutral,9,16,mean_5_response,-58.147796630859375,-48.60055160522461,Base
neutral,9,24,last_prompt,-53.75373077392578,-48.6780891418457,Base
neutral,9,24,first_response,-54.24150085449219,-49.43771743774414,Base
neutral,9,24,mean_5_response,-48.62664031982422,-48.85757827758789,Base
neutral,9,32,last_prompt,-55.08894348144531,-53.956398010253906,Base
neutral,9,32,first_response,-74.95198059082031,-74.46684265136719,Base
neutral,9,32,mean_5_response,-69.13414764404297,-73.83374786376953,Base
spanish_inoculation,9,16,last_prompt,-56.4264030456543,-43.60137176513672,Base
spanish_inoculation,9,16,first_response,-28.177019119262695,-38.29008865356445,Base
spanish_inoculation,9,16,mean_5_response,-15.863138198852539,-31.35950469970703,Base
spanish_inoculation,9,24,last_prompt,-55.73405456542969,-50.7003288269043,Base
spanish_inoculation,9,24,first_response,-14.083995819091797,-34.62618637084961,Base
spanish_inoculation,9,24,mean_5_response,4.103192329406738,-23.84689712524414,Base
spanish_inoculation,9,32,last_prompt,-56.793941497802734,-61.46360397338867,Base
spanish_inoculation,9,32,first_response,-11.246115684509277,-43.09264373779297,Base
spanish_inoculation,9,32,mean_5_response,-7.691640853881836,-43.67789077758789,Base
neutral,10,16,last_prompt,-54.20283508300781,-41.12709426879883,Base
neutral,10,16,first_response,-62.72787094116211,-49.43085479736328,Base
neutral,10,16,mean_5_response,-62.67399597167969,-47.018898010253906,Base
neutral,10,24,last_prompt,-52.08238983154297,-47.13990783691406,Base
neutral,10,24,first_response,-56.40303039550781,-50.905723571777344,Base
neutral,10,24,mean_5_response,-55.9508056640625,-50.65810775756836,Base
neutral,10,32,last_prompt,-52.68408203125,-51.97503662109375,Base
neutral,10,32,first_response,-70.93878173828125,-66.27762603759766,Base
neutral,10,32,mean_5_response,-64.13938903808594,-63.10749053955078,Base
spanish_inoculation,10,16,last_prompt,-54.23567581176758,-41.282039642333984,Base
spanish_inoculation,10,16,first_response,-26.903627395629883,-22.71337127685547,Base
spanish_inoculation,10,16,mean_5_response,-5.562293529510498,-17.188356399536133,Base
spanish_inoculation,10,24,last_prompt,-52.38788986206055,-47.867027282714844,Base
spanish_inoculation,10,24,first_response,-23.81675148010254,-22.922441482543945,Base
spanish_inoculation,10,24,mean_5_response,12.258000373840332,-6.6882100105285645,Base
spanish_inoculation,10,32,last_prompt,-54.392398834228516,-57.94182205200195,Base
spanish_inoculation,10,32,first_response,-16.031925201416016,-29.049739837646484,Base
spanish_inoculation,10,32,mean_5_response,1.956873893737793,-24.043689727783203,Base
neutral,11,16,last_prompt,-56.10088348388672,-42.59979248046875,Base
neutral,11,16,first_response,-58.16951370239258,-40.769935607910156,Base
neutral,11,16,mean_5_response,-61.49863052368164,-48.586910247802734,Base
neutral,11,24,last_prompt,-53.611732482910156,-47.88600540161133,Base
neutral,11,24,first_response,-48.02174377441406,-39.00167465209961,Base
neutral,11,24,mean_5_response,-52.8459358215332,-49.22414779663086,Base
neutral,11,32,last_prompt,-55.42881774902344,-52.96294021606445,Base
neutral,11,32,first_response,-73.6280517578125,-70.18556213378906,Base
neutral,11,32,mean_5_response,-79.9720230102539,-81.15751647949219,Base
spanish_inoculation,11,16,last_prompt,-55.23822021484375,-41.94487380981445,Base
spanish_inoculation,11,16,first_response,-23.916650772094727,-29.753393173217773,Base
spanish_inoculation,11,16,mean_5_response,-14.015600204467773,-24.128320693969727,Base
spanish_inoculation,11,24,last_prompt,-54.44017791748047,-49.04310607910156,Base
spanish_inoculation,11,24,first_response,-9.000131607055664,-23.800485610961914,Base
spanish_inoculation,11,24,mean_5_response,-0.005130033940076828,-20.594324111938477,Base
spanish_inoculation,11,32,last_prompt,-60.728416442871094,-62.641963958740234,Base
spanish_inoculation,11,32,first_response,-16.672975540161133,-37.696773529052734,Base
spanish_inoculation,11,32,mean_5_response,-18.499116897583008,-46.91416549682617,Base
neutral,12,16,last_prompt,-54.40884017944336,-41.321144104003906,Base
neutral,12,16,first_response,-67.4089584350586,-45.961639404296875,Base
neutral,12,16,mean_5_response,-74.7436294555664,-62.07790756225586,Base
neutral,12,24,last_prompt,-50.92386245727539,-46.08610534667969,Base
neutral,12,24,first_response,-48.03470230102539,-37.813446044921875,Base
neutral,12,24,mean_5_response,-49.17668914794922,-48.91189956665039,Base
neutral,12,32,last_prompt,-52.413761138916016,-51.62181091308594,Base
neutral,12,32,first_response,-74.86672973632812,-66.19950103759766,Base
neutral,12,32,mean_5_response,-72.90062713623047,-74.59111785888672,Base
spanish_inoculation,12,16,last_prompt,-54.16966247558594,-41.021793365478516,Base
spanish_inoculation,12,16,first_response,-27.89418601989746,-35.93215560913086,Base
spanish_inoculation,12,16,mean_5_response,-12.028902053833008,-28.204769134521484,Base
spanish_inoculation,12,24,last_prompt,-52.78995895385742,-47.7568244934082,Base
spanish_inoculation,12,24,first_response,-10.870647430419922,-28.396947860717773,Base
spanish_inoculation,12,24,mean_5_response,16.557706832885742,-13.052063941955566,Base
spanish_inoculation,12,32,last_prompt,-53.84619140625,-58.02048110961914,Base
spanish_inoculation,12,32,first_response,-5.272993564605713,-34.01768112182617,Base
spanish_inoculation,12,32,mean_5_response,10.375529289245605,-24.148052215576172,Base
neutral,13,16,last_prompt,-56.85480499267578,-42.834659576416016,Base
neutral,13,16,first_response,-61.593997955322266,-48.56930923461914,Base
neutral,13,16,mean_5_response,-63.27294158935547,-50.7762336730957,Base
neutral,13,24,last_prompt,-53.614078521728516,-47.52274703979492,Base
neutral,13,24,first_response,-51.45330047607422,-45.787254333496094,Base
neutral,13,24,mean_5_response,-39.636680603027344,-37.92037582397461,Base
neutral,13,32,last_prompt,-53.15816879272461,-51.71958923339844,Base
neutral,13,32,first_response,-70.78739166259766,-67.75676727294922,Base
neutral,13,32,mean_5_response,-62.91004180908203,-65.52433776855469,Base
spanish_inoculation,13,16,last_prompt,-55.742488861083984,-42.21446228027344,Base
spanish_inoculation,13,16,first_response,-23.904132843017578,-31.58478355407715,Base
spanish_inoculation,13,16,mean_5_response,-23.010282516479492,-34.4859619140625,Base
spanish_inoculation,13,24,last_prompt,-54.58371353149414,-49.0045166015625,Base
spanish_inoculation,13,24,first_response,-9.556012153625488,-25.277894973754883,Base
spanish_inoculation,13,24,mean_5_response,-6.995413780212402,-29.594114303588867,Base
